จังหวัด,รายชื่อวัด
,วัดศรีทองไพบูลย์วราราม
,วัดป่าศรีอินทราราม
,วัดสาเกตนคร
,วัดโพธิ์เหนือศรีสวัสดิ์
,วัดโพธิ์รังษี 
,วัดอุ่มเม่า
,วัดบ้านโคกสูง
,วัดป่าศรีพระลานชัย
,วัดป่าโพธิ์ศรี
,วัดโพธิ์กลาง
,วัดเจริญผล
,วัดดอนงัว
,วัดบ้านสวนจิก 
,วัดสังข์ทอง
,วัดมิ่งเมือง
,วัดแสงอรุณราษฎร์
,วัดถ้ำผาน้ำทิพย์
,วัดหนองผือน้อย
,วัดชิโนวาทธำรง
,วัดเหนือท่าม่วง
,วัดยางกลาง
,วัดหนองเม็ก
,วัดฐิตวิริยาวนาราม
,วัดบูรพาราม
,วัดโคกศรี
