จังหวัด,รายชื่อวัด
,วัดบ้านฝาง
,วัดหนองกก 
,วัดสีมาวดี 
,วัดบูรพา
,วัดสังวรณ์
,วัดจันทร์ประดิษฐ์
,วัดศรีสมบูรณ์
,วัดโพธิ์เหนือ
,วัดหัวหนองคู
,วัดดงมัน
,วัดหนองโดน 
,วัดโกทา 
,วัดเวฬุวนาราม
,วัดอรัญญาวาส
,วัดบ้านแท่น
,วัดบูรพา 
,วัดบรบือสราราม
,วัดโนนเห็ดได
,วัดเกษบุรีดอนก่อ
,วัดเหล่ากว้าง 
,วัดกู่ใต้
,วัดขามป้อม
,วัดราชพฤกษ์สิงขร
,วัดกำพี้
,วัดแวงชัยวนาราม
,วัดท่าเรียบ
,วัดโนนสะอาด
,วัดดอนดู่
,วัดโพธิสว่าง
,วัดธรรมจริยา
,วัดโคกเสือเฒ่า
,วัดพงโพด
,วัดแสงอุทัย
,วัดหัวช้าง
,วัดเม่นใหญ่
,วัดใต้ดงน้อย
,วัดนาฝาย
,วัดบ้านหมี่
,วัดสำโรงวราราม
,วัดน้ำเที่ยง
,วัดรัมณียาราม 
,วัดโพธิ์ศรี 
,วัดโพธิ์ศรีแกดำ
,วัดเขมิกาวาส
,วัดดอนกลาง
,วัดบ้านแดง
,วัดกระยอม
,วัดดงศิลา 
,วัดตาลอก 
,วัดทิพโสต
,วัดโนนโพธิ์
,วัดหนองกุงเต่า
,วัดโพธาราม
,วัดโพธิ์ชัย 
,วัดหนองโจด
,วัดเลิงบัว
,วัดบัวค้อ 
,วัดโนนสวรรค์
,วัดสุวรรณพัตร์
,วัดโพนทราย 
,วัดโคกหมากมาย
,วัดขี้เหล็ก
,วัดหนองกุง
,วัดราษฎร์ประดิษฐ์
,วัดรัตนวัน
,วัดหนองมันปลา
,วัดศรีเจริญ
,วัดดอนหลี่
,วัดท่าสองคอน
,วัดนิมิตมงคล
,วัดหมุ่นชัยศรี
,วัดถิรญาณ
,วัดโพธิ์ศรีนวล
,วัดเกาะแก้ว
,วัดสระแก้วหนองคู
,วัดโคกเลื่อน
,วัดสมณคุตประดิษฐ์
,วัดโคกเต่า 
,วัดตาลเรือง
,วัดดอนงัว 
,วัดศิริบุรีวังแสง
,วัดวารินทราวาส 
,วัดนาเชือก
,วัดทองนพคุณ
,วัดจันทรังษี
,วัดหนองแดง 
,วัดกุดแคน
,วัดเหล่าอีหมัน 
,วัดป่าขามเฒ่าพัฒนา
,วัดโพธิ์ศรีสว่าง 
,วัดเกาะแก้วสว่างอารมณ์
,วัดราษฎร์บูรณะ
,วัดสระเกตุหนองมันปลา 
,วัดหนองนาในวราราม 
