จังหวัด,รายชื่อวัด
,วัดหนองจิก
,วัดบ้านหนองต้อสามัคคี 
,วัดป่าคำนวลธรรมวราราม 
,วัดสิงห์วงศ์
,วัดธรรมประดิษฐ์
,วัดป่าบ้านเพ็ญ
,วัดป่าโคกกลาง 
,วัดสมศรี
,วัดชัยมงคล
,วัดป่าหนองแซง
,วัดไผ่ทอง 
,วัดหนองม่วง
,วัดป่าเลไลย์
,วัดดงกระทิง
,วัดป่าบ้านโนนทอง 
,วัดศิริมงคล
,วัดวรดิษฐ์
,วัดสะแกโพรง
,วัดโคกสนวน
,วัดสามัคคี
,วัดปอแดง
,วัดบ้านค้อ
,วัดคูขาดน้อย
,วัดมะค่า
,วัดหนองกระทิง
,วัดโพธิ์ย่อย
,วัดแสงจันทร์วนาราม
,วัดคูเมือง
,วัดตะขบ
,วัดหนองพะอง
,วัดบ้านจะหลวย
,วัดหนองผะองค์
,วัดหนองเสม็ดวนาราม 
,วัดโคกสิงห์
,วัดป่านามบุญวนาราม 
,วัดป่าสังเคิล-หนองจาน
,วัดป่าบ้านหนองเต็ง 
,วัดสิมทราราม
,วัดมะขาม
,วัดหนองกก 
,วัดดอนยาว
,วัดห้วยสำราญ
,วัดป่าเทพนิมิตร
,วัดป่าสะแกดินแดง 
,วัดบ้านเสม็ด
,วัดอัมภาวรินทร์
,วัดไตรรัตน์
,วัดประทุมคงคา
,วัดตลาดนิคม
,วัดศรีสุธรรม
,วัดเวฬุวนาราม
,วัดตะเคียนทอง
,วัดทุ่งจังหัน
,วัดชุมพร
,วัดชัยชุมแสง
,วัดป่าบ้านหนองหว้า 
,วัดโคกตะแบก
,วัดหนองสะกวน 
,วัดโคกกระเบื้อง 
,วัดหนองจาน
,วัดโคกมะขาม
,วัดป่าครองธรรม
,วัดธรรมประสิทธิ์
,วัดพรสำราญ
,วัดท่าเรียบ
,วัดป่าประคำ 
,วัดดอนดู่
,วัดชัยศิริ
,วัดโคกลอย
,วัดหนองแม่มด
,วัดราษฏร์เจริญ
,วัดมณีจันทร์
,วัดสายโทใต้
,วัดขันติการาม
,วัดป่าบุขี้เหล็ก
,วัดโคกสามัคคี 
,วัดหัวช้าง
,วัดแท่นบัลลังก์
,วัดจิกน้อย
,วัดหนองบัวเจ้าป่า
,วัดโคกเจริญ
,วัดบ้านพระน้อย
,วัดโพธิ์ทรายทอง
,วัดหนองกราด
,วัดโนนสูงทุ่งสว่าง
,วัดแจ้งสมรเทศ
,วัดศรีตะครอง
,วัดป่าศรีอุดมพร 
,วัดป่ามหาวีราราม 
,วัดหนองปรือ
,วัดหนองหงส์
,วัดป่าโคกกระชาย 
,วัดสามัคคีศรัทธาธรรม
,วัดโพธาราม
,วัดบ้านตามา
,วัดโคกกระเบื้อง
,วัดเกตุเหนือ
,วัดบ้านเก็ม
,วัดป่าช้าสำโรง 
,วัดโพธิ์ไทร
,วัดโคกสว่าง
,วัดช่างหิน
,วัดป่าหนองบึง 
,วัดโคก
,วัดโนนสวรรค์
,วัดขี้เหล็ก
,วัดอุทยาวาส
,วัดป่าพระสบาย 
,วัดหนองตะขบ
,วัดบุ่งช้าง
,วัดขุนก้อง
,วัดป่าบุรีรัตน์พัฒนาราม(วัดหนองแปบ
,วัดป่าบ้านกรวด
,วัดบ้านกะโดน
,วัดประชาศรัทธาธรรม
,วัดหนองมันปลา
,วัดเขาพระอังคาร
,วัดป่าดงย่อ-หนองแวง
,วัดสุจิตต์ธัมมาราม
,วัดเกาะแก้ว
,วัดเทพทราวาส
,วัดป่าหนองติ้ว 
,วัดตูมน้อย
,วัดชัยสมพร
,วัดนาลาวลาดอำนวย 
,วัดลุมปุ๊ก
,วัดพระพุทธบาทเขากระโดง
,วัดหนองสรวง
,วัดป่าชัยเจริญอุดมธรรม 
,วัดอุทยาราม
,วัดบ้านกรวด
,วัดบุตาวงษ์
,วัดบ้านจันดุม
,วัดหนองมะเขือ
,วัดสว่างโพธิ์ทองวราราม
,วัดอินทรวนาราม
,วัดหนองตาสี
,วัดเจริญนิมิต
,วัดประดิษฐ์ศรีวราราม
,วัดศรีภูมิวนาราม
